delta,light_intensity,grey_out
4,0.001092131,87
4,0.001146737,89
4,0.001204074,91
4,0.001264278,95
4,0.001327492,98
4,0.001393866,99
4,0.001463560,103
4,0.001536738,105
4,0.001613575,108
4,0.001694253,110
4,0.001778966,112
4,0.001867914,114
4,0.001961310,118
4,0.002059375,120
4,0.002162344,124
4,0.002270461,126
4,0.002383984,129
4,0.002503183,133
4,0.002628342,136
4,0.002759759,138
4,0.002897747,140
4,0.003042634,145
4,0.003194765,148
4,0.003354504,151
4,0.003522228,155
4,0.003698340,158
4,0.003883257,161
4,0.004077419,165
4,0.004281290,169
4,0.004495354,173
4,0.004720122,175
4,0.004956128,180
4,0.005203934,183
4,0.005464131,186
4,0.005737337,190
4,0.006024204,194
4,0.006325413,198
4,0.006641684,203
4,0.006973768,208
4,0.007322456,211
4,0.007688578,214
4,0.008073007,220
4,0.008476657,222
4,0.008900490,227
4,0.009345514,232
4,0.009812789,236
4,0.010303430,241
4,0.010818600,244
4,0.011359530,250
4,0.011927510,254
4,0.012523880,248
4,0.013150070,242
4,0.013807580,238
4,0.014497960,232
4,0.015222850,224
4,0.015983990,218
4,0.016783190,211
4,0.017622350,202
4,0.018503470,192
4,0.019428640,184
4,0.020400070,172
4,0.021420070,162
4,0.022491080,148
4,0.023615630,131
4,0.024796410,112
4,0.026036230,83
4,0.027338040,41
4,0.028704940,0
4,0.030140190,1
4,0.031647190,0
4,0.033229550,1
4,0.034891030,0
4,0.036635580,0
4,0.038467360,1
4,0.040390720,0
4,0.042410260,0
4,0.044530770,0
4,0.046757300,0
4,0.049095160,0
4,0.051549920,0
4,0.054127420,0
4,0.056833790,0
4,0.059675470,0
4,0.062659240,0
4,0.065792200,0
4,0.069081810,0
4,0.072535900,0
4,0.076162700,0
4,0.079970830,0
4,0.083969370,0
4,0.088167830,0
4,0.092576220,0
4,0.097205030,0
4,0.102065300,0
4,0.107168500,0
4,0.112527000,0
4,0.118153300,0
4,0.124061000,0
4,0.130264000,0
4,0.136777200,0
4,0.143616100,1
4,0.150796800,0
4,0.158336700,1
4,0.166253500,0
4,0.174566200,0
4,0.183294500,1
4,0.192459200,0
4,0.202082100,0
4,0.212186200,0
4,0.222795500,0
4,0.233935300,0
4,0.245632100,0
4,0.257913600,0
4,0.270809300,0
4,0.284349800,0
4,0.298567200,0
4,0.313495600,0
4,0.329170300,0
4,0.345628900,0
4,0.362910300,0
4,0.381055800,0
4,0.400108500,0
4,0.420114000,0
4,0.441119600,0
4,0.463175600,0
4,0.486334400,0
4,0.510651100,0
4,0.536183600,0
4,0.562992800,0
4,0.591142400,0
4,0.620699500,0
4,0.651734400,0
4,0.684321100,1
4,0.718537200,0
4,0.754464000,1
4,0.792187200,0
4,0.831796500,0
4,0.873386300,1
4,0.917055500,0
4,0.962908300,0
4,1.011054000,0
4,1.061606000,0
4,1.114687000,0
4,1.170421000,0
4,1.228942000,0
4,1.290389000,0
4,1.354908000,0
4,1.422654000,0
4,1.493786000,0
4,1.568476000,0
4,1.646899000,0
4,1.729244000,0
4,1.815706000,0
4,1.906492000,0
4,2.001816000,0
4,2.101907000,0
4,2.207002000,0
4,2.317352000,0
4,2.433219000,0
4,2.554880000,0
4,2.682624000,0
4,2.816755000,0
4,2.957593000,0
4,3.105473000,0
4,3.260746000,1
4,3.423783000,0
4,3.594972000,1
4,3.774721000,0
4,3.963457000,0
4,4.161629000,1
4,4.369710000,0
4,4.588196000,0
4,4.817605000,0
4,5.058486000,0
4,5.311409000,0
4,5.576980000,0
4,5.855828000,0
4,6.148620000,0
4,6.456050000,0
4,6.778852000,0
4,7.117795000,0
4,7.473684000,0
4,7.847368000,0
4,8.239737000,0
4,8.651723000,0
4,9.084309000,0
4,9.538524000,0
4,10.015450000,0
4,10.516220000,0
4,11.042030000,0
4,11.594130000,0
4,12.173840000,0
4,12.782530000,0
4,13.421660000,0
4,14.092740000,0
4,14.797370000,0
4,15.537240000,1
4,16.314100000,0
4,17.129810000,1
4,17.986300000,0
4,18.885610000,0
4,19.829890000,1
4,20.821390000,0
4,21.862460000,0
4,22.955580000,0
4,24.103360000,0
4,25.308520000,0
4,26.573950000,0
4,27.902640000,0
4,29.297770000,0
4,30.762660000,0
4,32.300790000,0
4,33.915820000,0
4,35.611610000,0
4,37.392190000,0
4,39.261800000,0
4,41.224890000,0
4,43.286130000,0
4,45.450430000,0
4,47.722950000,0
4,50.109100000,0
4,52.614550000,0
4,55.245270000,0
4,58.007530000,0
4,60.907910000,0
4,63.953300000,0
4,67.150960000,0
4,70.508510000,0
4,74.033930000,1
4,77.735620000,0
4,81.622400000,1
4,85.703510000,0
4,89.988690000,0
4,94.488110000,1
4,99.212520000,0
4,104.173100000,0
4,109.381800000,0
4,114.850900000,0
4,120.593400000,0
4,126.623100000,0
4,132.954200000,0
4,139.601900000,0
4,146.582000000,0
4,153.911100000,0
4,161.606600000,0
4,169.687000000,0
4,178.171300000,0
4,187.079900000,0
4,196.433900000,0
4,206.255500000,0
4,216.568300000,0
4,227.396700000,0
4,238.766500000,0
4,250.704800000,0
4,263.240100000,0
4,276.402100000,0
4,290.222200000,0
4,304.733300000,0
4,319.969900000,0
4,335.968400000,0
4,352.766800000,1
4,370.405200000,0
4,388.925400000,1
5,0.000100000,0
5,0.000105000,0
5,0.000110250,1
5,0.000115763,0
5,0.000121551,0
5,0.000127628,0
5,0.000134010,0
5,0.000140710,0
5,0.000147746,0
5,0.000155133,0
5,0.000162889,0
5,0.000171034,0
5,0.000179586,0
5,0.000188565,0
5,0.000197993,0
5,0.000207893,0
5,0.000218287,0
5,0.000229202,0
5,0.000240662,0
5,0.000252695,0
5,0.000265330,0
5,0.000278596,0
5,0.000292526,0
5,0.000307152,0
5,0.000322510,0
5,0.000338635,0
5,0.000355567,0
5,0.000373345,0
5,0.000392012,0
5,0.000411613,1
5,0.000432194,0
5,0.000453803,1
5,0.000476494,0
5,0.000500318,0
5,0.000525334,1
5,0.000551601,0
5,0.000579181,0
5,0.000608140,0
5,0.000638547,0
5,0.000670474,0
5,0.000703998,0
5,0.000739198,0
5,0.000776157,0
5,0.000814965,0
5,0.000855713,0
5,0.000898499,0
5,0.000943424,0
5,0.000990595,0
5,0.001040125,0
5,0.001092131,0
5,0.001146737,0
5,0.001204074,0
5,0.001264278,0
5,0.001327492,0
5,0.001393866,0
5,0.001463560,0
5,0.001536738,0
5,0.001613575,0
5,0.001694253,0
5,0.001778966,0
5,0.001867914,0
5,0.001961310,1
5,0.002059375,0
5,0.002162344,1
5,0.002270461,0
5,0.002383984,0
5,0.002503183,1
5,0.002628342,0
5,0.002759759,0
5,0.002897747,0
5,0.003042634,0
5,0.003194765,0
5,0.003354504,0
5,0.003522228,0
5,0.003698340,0
5,0.003883257,0
5,0.004077419,0
5,0.004281290,0
5,0.004495354,0
5,0.004720122,0
5,0.004956128,0
5,0.005203934,0
5,0.005464131,0
5,0.005737337,0
5,0.006024204,0
5,0.006325413,0
5,0.006641684,0
5,0.006973768,0
5,0.007322456,0
5,0.007688578,0
5,0.008073007,0
5,0.008476657,0
5,0.008900490,0
5,0.009345514,1
5,0.009812789,0
5,0.010303430,1
5,0.010818600,0
5,0.011359530,0
5,0.011927510,9
5,0.012523880,62
5,0.013150070,88
5,0.013807580,102
5,0.014497960,119
5,0.015222850,136
5,0.015983990,145
5,0.016783190,157
5,0.017622350,170
5,0.018503470,180
5,0.019428640,190
5,0.020400070,198
5,0.021420070,207
5,0.022491080,217
5,0.023615630,226
5,0.024796410,234
5,0.026036230,244
5,0.027338040,251
5,0.028704940,248
5,0.030140190,240
5,0.031647190,231
5,0.033229550,218
5,0.034891030,209
5,0.036635580,196
5,0.038467360,181
5,0.040390720,165
5,0.042410260,143
5,0.044530770,122
5,0.046757300,92
5,0.049095160,13
5,0.051549920,0
5,0.054127420,0
5,0.056833790,1
5,0.059675470,0
5,0.062659240,0
5,0.065792200,0
5,0.069081810,0
5,0.072535900,0
5,0.076162700,0
5,0.079970830,0
5,0.083969370,0
5,0.088167830,0
5,0.092576220,0
5,0.097205030,0
5,0.102065300,0
5,0.107168500,0
5,0.112527000,0
5,0.118153300,0
