delta_m,i_d,v_r,v_g,v_b
1,0.001057217,0.000000,0.000000,0.000000
1,0.001067790,0.003922,0.003922,0.003922
1,0.001078467,0.003922,0.003922,0.003922
1,0.001089252,0.003922,0.003922,0.003922
1,0.001100145,0.000000,0.000000,0.000000
1,0.001111146,0.000000,0.000000,0.000000
1,0.001122258,0.003922,0.003922,0.003922
1,0.001133480,0.000000,0.000000,0.000000
1,0.001144815,0.000000,0.000000,0.000000
1,0.001156263,0.003922,0.003922,0.003922
1,0.001167826,0.000000,0.000000,0.000000
1,0.001179504,0.003922,0.003922,0.003922
1,0.001191299,0.000000,0.000000,0.000000
1,0.001203212,0.000000,0.000000,0.000000
1,0.001215244,0.000000,0.000000,0.000000
1,0.001227397,0.000000,0.000000,0.000000
1,0.001239670,0.000000,0.000000,0.000000
1,0.001252067,0.003922,0.003922,0.003922
1,0.001264588,0.003922,0.003922,0.003922
1,0.001277234,0.003922,0.003922,0.003922
1,0.001290006,0.000000,0.000000,0.000000
1,0.001302906,0.000000,0.000000,0.000000
1,0.001315935,0.003922,0.003922,0.003922
1,0.001329095,0.000000,0.000000,0.000000
1,0.001342385,0.000000,0.000000,0.000000
1,0.001355809,0.003922,0.003922,0.003922
1,0.001369367,0.000000,0.000000,0.000000
1,0.001383061,0.003922,0.003922,0.003922
1,0.001396892,0.000000,0.000000,0.000000
1,0.001410861,0.000000,0.000000,0.000000
1,0.001424969,0.000000,0.000000,0.000000
1,0.001439219,0.000000,0.000000,0.000000
1,0.001453611,0.000000,0.000000,0.000000
1,0.001468147,0.003922,0.003922,0.003922
1,0.001482829,0.003922,0.003922,0.003922
1,0.001497657,0.003922,0.003922,0.003922
1,0.001512634,0.000000,0.000000,0.000000
1,0.001527760,0.000000,0.000000,0.000000
1,0.001543037,0.003922,0.003922,0.003922
1,0.001558468,0.000000,0.000000,0.000000
1,0.001574052,0.000000,0.000000,0.000000
1,0.001589793,0.003922,0.003922,0.003922
1,0.001605691,0.000000,0.000000,0.000000
1,0.001621748,0.003922,0.003922,0.003922
1,0.001637965,0.000000,0.000000,0.000000
1,0.001654345,0.000000,0.000000,0.000000
1,0.001670888,0.000000,0.000000,0.000000
1,0.001687597,0.000000,0.000000,0.000000
1,0.001704473,0.000000,0.000000,0.000000
1,0.001721518,0.003922,0.003922,0.003922
1,0.001738733,0.003922,0.003922,0.003922
1,0.001756120,0.003922,0.003922,0.003922
1,0.001773681,0.000000,0.000000,0.000000
1,0.001791418,0.000000,0.000000,0.000000
1,0.001809332,0.003922,0.003922,0.003922
1,0.001827426,0.000000,0.000000,0.000000
1,0.001845700,0.000000,0.000000,0.000000
1,0.001864157,0.003922,0.003922,0.003922
1,0.001882799,0.000000,0.000000,0.000000
1,0.001901626,0.003922,0.003922,0.003922
1,0.001920643,0.000000,0.000000,0.000000
1,0.001939849,0.000000,0.000000,0.000000
1,0.001959248,0.000000,0.000000,0.000000
1,0.001978840,0.000000,0.000000,0.000000
1,0.001998628,0.000000,0.000000,0.000000
1,0.002018614,0.003922,0.003922,0.003922
1,0.002038801,0.003922,0.003922,0.003922
1,0.002059189,0.003922,0.003922,0.003922
1,0.002079780,0.000000,0.000000,0.000000
1,0.002100578,0.000000,0.000000,0.000000
1,0.002121584,0.003922,0.003922,0.003922
