delta,light_intensity,grey_out
12,0.146977400,1
12,0.176372900,0
12,0.211647500,0
12,0.253977000,0
12,0.304772400,0
12,0.365726900,123
12,0.438872300,224
12,0.526646700,218
12,0.631976100,106
12,0.758371400,0
12,0.910045700,0
12,1.092055000,0
12,1.310466000,0
12,1.572559000,0
12,1.887071000,0
12,2.264486000,0
12,2.717383000,0
12,3.260860000,0
12,3.913032000,0
12,4.695638000,0
12,5.634766000,0
12,6.761720000,0
12,8.114064000,0
12,9.736877000,0
12,11.684250000,0
12,14.021100000,0
12,16.825330000,0
12,20.190390000,1
12,24.228470000,0
12,29.074170000,1
12,34.889000000,0
12,41.866810000,0
12,50.240170000,1
12,60.288200000,0
12,72.345850000,0
12,86.815020000,0
12,104.178000000,0
12,125.013600000,0
13,0.000100000,0
13,0.000120000,0
13,0.000144000,0
13,0.000172800,0
13,0.000207360,0
13,0.000248832,0
13,0.000298599,0
13,0.000358318,0
13,0.000429982,0
13,0.000515978,0
13,0.000619174,0
13,0.000743009,0
13,0.000891611,0
13,0.001069933,0
13,0.001283919,0
13,0.001540703,0
13,0.001848844,0
13,0.002218613,0
13,0.002662335,0
13,0.003194802,0
13,0.003833763,0
13,0.004600516,1
13,0.005520619,0
13,0.006624744,1
13,0.007949693,0
13,0.009539632,0
13,0.011447560,1
13,0.013737070,0
13,0.016484490,0
13,0.019781380,0
13,0.023737660,0
13,0.028485200,0
13,0.034182240,0
13,0.041018690,0
13,0.049222430,0
13,0.059066920,0
13,0.070880300,0
13,0.085056360,0
13,0.102067600,0
13,0.122481200,0
13,0.146977400,0
13,0.176372900,0
13,0.211647500,0
13,0.253977000,0
13,0.304772400,0
13,0.365726900,0
13,0.438872300,0
13,0.526646700,147
13,0.631976100,237
13,0.758371400,195
13,0.910045700,0
13,1.092055000,0
13,1.310466000,0
13,1.572559000,1
13,1.887071000,0
13,2.264486000,1
13,2.717383000,0
13,3.260860000,0
13,3.913032000,1
13,4.695638000,0
13,5.634766000,0
13,6.761720000,0
13,8.114064000,0
13,9.736877000,0
13,11.684250000,0
13,14.021100000,0
13,16.825330000,0
13,20.190390000,0
13,24.228470000,0
13,29.074170000,0
13,34.889000000,0
13,41.866810000,0
13,50.240170000,0
13,60.288200000,0
13,72.345850000,0
13,86.815020000,0
13,104.178000000,0
13,125.013600000,0
14,0.000100000,0
14,0.000120000,0
14,0.000144000,0
14,0.000172800,0
14,0.000207360,0
14,0.000248832,0
14,0.000298599,0
14,0.000358318,1
14,0.000429982,0
14,0.000515978,1
14,0.000619174,0
14,0.000743009,0
14,0.000891611,1
14,0.001069933,0
14,0.001283919,0
14,0.001540703,0
14,0.001848844,0
14,0.002218613,0
14,0.002662335,0
14,0.003194802,0
14,0.003833763,0
14,0.004600516,0
14,0.005520619,0
14,0.006624744,0
14,0.007949693,0
14,0.009539632,0
14,0.011447560,0
14,0.013737070,0
14,0.016484490,0
14,0.019781380,0
14,0.023737660,0
14,0.028485200,0
14,0.034182240,0
14,0.041018690,0
14,0.049222430,0
14,0.059066920,0
14,0.070880300,0
14,0.085056360,0
14,0.102067600,0
14,0.122481200,1
14,0.146977400,0
14,0.176372900,1
14,0.211647500,0
14,0.253977000,0
14,0.304772400,1
14,0.365726900,0
14,0.438872300,0
14,0.526646700,0
14,0.631976100,0
14,0.758371400,177
14,0.910045700,251
